tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 3;2,000;4;33,105;31,650;Cincinnati, OH;Minneapolis/St. Paul, MN;31,870;266.44;148.28;38,370;118.16;0.7969;-6,500;-0.1694;"Cincinnati, OH
(39.104427, -84.513808)";"Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 3;2,000;4;33,342;30,852;Milwaukee, WI;Washington, DC (Metropolitan Area);47,910;195.05;129.95;55,690;65.10;0.5010;-7,780;-0.1397;"Milwaukee, WI
(43.041072, -87.909421)";"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 3;2,000;4;35,412;31,703;Knoxville, TN;New York City, NY (Metropolitan Area);25,440;189.54;140.29;28,960;49.25;0.3510;-3,520;-0.1215;"Knoxville, TN
(35.962631, -83.916677)";"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 3;2,000;3;30,397;30,194;Atlanta, GA (Metropolitan Area);Dallas/Fort Worth, TX;257,690;191.66;147.33;246,030;44.33;0.3009;11,660;0.0474;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Dallas/Fort Worth, TX
(40.11086, -77.035636)"
Table 3;2,000;3;30,397;30,529;Atlanta, GA (Metropolitan Area);Hartford, CT;80,190;173.20;122.80;91,230;50.40;0.4105;-11,040;-0.1210;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Hartford, CT
(41.765775, -72.673356)"
Table 3;2,000;3;30,977;33,105;Chicago, IL;Cincinnati, OH;68,030;231.47;171.45;75,030;60.02;0.3501;-7,000;-0.0933;"Chicago, IL
(41.775002, -87.696388)";"Cincinnati, OH
(39.104427, -84.513808)"
Table 3;2,000;3;31,295;32,337;Detroit, MI;Indianapolis, IN;47,220;148.90;87.33;53,720;61.56;0.7049;-6,500;-0.1210;"Detroit, MI
(42.332916, -83.047853)";"Indianapolis, IN
(39.76845, -86.156212)"
Table 3;2,000;3;31,295;34,027;Detroit, MI;West Palm Beach/Palm Beach, FL;23,630;155.75;116.20;35,470;39.54;0.3403;-11,840;-0.3338;"Detroit, MI
(42.332916, -83.047853)";"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 3;2,000;3;31,295;34,100;Detroit, MI;Philadelphia, PA;77,200;182.73;119.56;92,260;63.17;0.5283;-15,060;-0.1632;"Detroit, MI
(42.332916, -83.047853)";"Philadelphia, PA
(39.951061, -75.16562)"
Table 3;2,000;3;33,105;31,123;Cincinnati, OH;St. Louis, MO;15,820;277.71;111.37;16,540;166.33;1.4935;-720;-0.0435;"Cincinnati, OH
(39.104427, -84.513808)";"St. Louis, MO
(38.630276, -90.200309)"
Table 3;2,000;3;33,105;31,650;Cincinnati, OH;Minneapolis/St. Paul, MN;36,360;226.97;162.25;39,810;64.72;0.3989;-3,450;-0.0867;"Cincinnati, OH
(39.104427, -84.513808)";"Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 3;2,000;2;30,189;30,466;Colorado Springs, CO;Phoenix, AZ;16,420;209.64;152.44;21,550;57.20;0.3752;-5,130;-0.2381;"Colorado Springs, CO
(38.835224, -104.819798)";"Phoenix, AZ
(30.406931, -87.217578)"
Table 3;2,000;2;30,397;34,524;Atlanta, GA (Metropolitan Area);Richmond, VA;44,860;218.48;164.18;54,550;54.29;0.3307;-9,690;-0.1776;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;2,000;2;30,423;30,721;Austin, TX;Boston, MA (Metropolitan Area);39,270;318.35;237.86;37,890;80.50;0.3384;1,380;0.0364;"Austin, TX
(30.264979, -97.746598)";"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 3;2,000;2;31,123;30,852;St. Louis, MO;Washington, DC (Metropolitan Area);165,690;165.68;126.85;158,980;38.83;0.3061;6,710;0.0422;"St. Louis, MO
(38.630276, -90.200309)";"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 3;2,000;2;31,295;34,100;Detroit, MI;Philadelphia, PA;85,870;163.22;122.95;93,650;40.27;0.3275;-7,780;-0.0831;"Detroit, MI
(42.332916, -83.047853)";"Philadelphia, PA
(39.951061, -75.16562)"
Table 3;2,000;2;33,105;31,123;Cincinnati, OH;St. Louis, MO;16,320;223.01;114.67;13,790;108.34;0.9449;2,530;0.1835;"Cincinnati, OH
(39.104427, -84.513808)";"St. Louis, MO
(38.630276, -90.200309)"
Table 3;2,000;1;30,397;34,524;Atlanta, GA (Metropolitan Area);Richmond, VA;42,030;220.80;152.85;48,840;67.95;0.4445;-6,810;-0.1394;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;2,000;1;30,423;30,721;Austin, TX;Boston, MA (Metropolitan Area);27,290;354.87;238.62;28,170;116.24;0.4871;-880;-0.0312;"Austin, TX
(30.264979, -97.746598)";"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 3;2,000;1;31,423;31,454;Des Moines, IA;Orlando, FL;13,460;192.29;141.55;22,040;50.74;0.3585;-8,580;-0.3893;"Des Moines, IA
(41.588822, -93.620309)";"Orlando, FL
(28.538331, -81.378879)"
Table 3;2,000;1;31,454;34,524;Orlando, FL;Richmond, VA;14,030;205.21;152.64;16,890;52.57;0.3444;-2,860;-0.1693;"Orlando, FL
(28.538331, -81.378879)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;2,000;1;32,467;34,524;Miami, FL (Metropolitan Area);Richmond, VA;13,850;223.26;169.37;20,280;53.89;0.3182;-6,430;-0.3171;"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;1,999;4;30,397;33,044;Atlanta, GA (Metropolitan Area);Louisville, KY;27,530;251.42;191.81;32,850;59.61;0.3107;-5,320;-0.1619;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Louisville, KY
(38.256078, -85.751569)"
Table 3;1,999;4;30,397;34,524;Atlanta, GA (Metropolitan Area);Richmond, VA;49,530;178.50;118.45;63,930;60.05;0.5069;-14,400;-0.2252;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;1,999;4;30,423;30,721;Austin, TX;Boston, MA (Metropolitan Area);33,910;293.90;224.59;34,350;69.30;0.3086;-440;-0.0128;"Austin, TX
(30.264979, -97.746598)";"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 3;1,999;4;31,454;34,524;Orlando, FL;Richmond, VA;14,200;171.49;126.32;20,200;45.17;0.3576;-6,000;-0.2970;"Orlando, FL
(28.538331, -81.378879)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;1,999;4;31,650;33,316;Minneapolis/St. Paul, MN;Omaha, NE;19,300;233.48;148.48;26,430;84.99;0.5724;-7,130;-0.2698;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";"Omaha, NE
(46.07035, -93.666319)"
Table 3;1,999;4;32,457;34,689;San Francisco, CA (Metropolitan Area);Santa Barbara, CA;28,820;124.96;95.98;30,530;28.98;0.3019;-1,710;-0.0560;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";"Santa Barbara, CA
(34.420867, -119.698342)"
Table 3;1,999;3;30,397;30,562;Atlanta, GA (Metropolitan Area);Mobile, AL;16,740;175.11;115.25;21,920;59.86;0.5194;-5,180;-0.2363;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Mobile, AL
(34.661541, -77.695461)"
Table 3;1,999;3;30,397;34,027;Atlanta, GA (Metropolitan Area);West Palm Beach/Palm Beach, FL;44,670;146.33;109.63;63,190;36.70;0.3348;-18,520;-0.2931;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 3;1,999;3;30,397;34,524;Atlanta, GA (Metropolitan Area);Richmond, VA;50,510;172.78;121.56;61,710;51.23;0.4214;-11,200;-0.1815;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";"Richmond, VA
(37.540759, -77.433932)"
Table 3;1,999;3;30,423;30,721;Austin, TX;Boston, MA (Metropolitan Area);36,200;296.96;224.58;35,370;72.38;0.3223;830;0.0235;"Austin, TX
(30.264979, -97.746598)";"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 3;1,999;3;30,721;30,977;Boston, MA (Metropolitan Area);Chicago, IL;371,580;209.37;160.59;377,320;48.78;0.3038;-5,740;-0.0152;"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)";"Chicago, IL
(41.775002, -87.696388)"
Table 3;1,999;3;31,066;34,100;Columbus, OH;Philadelphia, PA;26,060;244.51;180.34;36,490;64.17;0.3558;-10,430;-0.2858;"Columbus, OH
(39.962649, -82.996216)";"Philadelphia, PA
(39.951061, -75.16562)"
Table 3;1,999;3;31,295;34,570;Detroit, MI;Reno, NV;17,180;198.85;135.25;22,580;63.59;0.4702;-5,400;-0.2391;"Detroit, MI
(42.332916, -83.047853)";"Reno, NV
(30.177159, -95.162771)"
Table 3;1,999;3;31,650;31,123;Minneapolis/St. Paul, MN;St. Louis, MO;47,230;242.39;186.23;58,140;56.16;0.3015;-10,910;-0.1877;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";"St. Louis, MO
(38.630276, -90.200309)"
Table 3;1,999;3;31,650;33,316;Minneapolis/St. Paul, MN;Omaha, NE;18,660;250.34;149.94;22,520;100.41;0.6696;-3,860;-0.1714;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";"Omaha, NE
(46.07035, -93.666319)"
Table 3;1,999;3;32,457;34,689;San Francisco, CA (Metropolitan Area);Santa Barbara, CA;25,790;128.89;98.95;29,700;29.95;0.3027;-3,910;-0.1316;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";"Santa Barbara, CA
(34.420867, -119.698342)"
Table 3;1,999;3;33,198;32,211;Kansas City, MO;Las Vegas, NV;62,690;135.05;102.04;72,930;33.02;0.3236;-10,240;-0.1404;"Kansas City, MO
(39.099792, -94.578559)";"Las Vegas, NV
(36.169202, -115.140597)"
Table 3;1,999;2;30,325;30,466;Denver, CO;Phoenix, AZ;133,110;184.73;124.72;165,700;60.00;0.4811;-32,590;-0.1967;"Denver, CO
(39.738453, -104.984853)";"Phoenix, AZ
(30.406931, -87.217578)"
Table 3;1,999;2;30,325;32,457;Denver, CO;San Francisco, CA (Metropolitan Area);247,350;246.94;182.52;271,010;64.42;0.3529;-23,660;-0.0873;"Denver, CO
(39.738453, -104.984853)";"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
Table 3;1,999;2;30,325;34,570;Denver, CO;Reno, NV;16,000;211.18;149.63;21,110;61.55;0.4114;-5,110;-0.2421;"Denver, CO
(39.738453, -104.984853)";"Reno, NV
(30.177159, -95.162771)"
